Date,Variation,Valeur,Volume Devise Total,Cours Ajuste,Volume Ajuste Total,Cours Normal,Volume Normal Total,source
2026-01-02,-0.69,1863130,1863130,1435,1304,1435,1304,Vivo energy
2026-01-02,-0.1,10727415,10727415,5235,2052,5235,2052,DATA
2026-01-02,-1.33,2238470,2238470,7795,290,7795,290,DATA
2026-01-02,-1.38,4488500,4488500,28500,157,28500,157,DATA
2026-01-02,-0.38,2842190,2842190,2600,1117,2600,1117,DATA
2026-01-02,-0.48,59203710,59203710,25995,2383,25995,2383,DATA
2026-01-02,-1.42,6980610,6980610,1045,6651,1045,6651,DATA
2026-01-02,-0.25,7983405,7983405,3990,2004,3990,2004,DATA
2026-01-02,0.0,1723280,1723280,2335,738,2335,738,DATA
2026-01-02,1.2,1136830,1136830,2530,453,2530,453,DATA
2026-01-02,-1.32,1745900,1745900,1495,1190,1495,1190,AGL
2026-01-02,-0.13,842475,842475,3870,222,3870,222,DATA
2026-01-02,0.0,5225595,5225595,7180,728,7180,728,DATA
2026-01-02,2.26,245000,245000,35000,7,35000,7,DATA
2026-01-02,0.71,7687890,7687890,1410,5488,1410,5488,DATA
2026-01-02,5.07,1722290,1722290,3940,439,3940,439,DATA
2026-01-02,-0.69,1863130,1863130,1435,1304,1435,1304,DATA
2026-01-02,0.0,306156145,306156145,16000,19750,16000,19750,ECOBANK_CI
2026-01-02,0.0,4779290,4779290,5850,817,5850,817,DATA
2026-01-02,6.33,18555675,18555675,1680,10948,1680,10948,Erium ci
2026-01-02,-0.75,21740700,21740700,19300,1143,19300,1143,DATA
2026-01-02,-1.13,9013735,9013735,2195,4132,2195,4132,Filtisac
2026-01-02,0.0,1136550,1136550,4295,284,4295,284,LNBB
2026-01-02,0.0,7024605,7024605,4975,1414,4975,1414,DATA
2026-01-02,0.0,2209800,2209800,5800,381,5800,381,DATA
2026-01-02,-7.5,1589285,1589285,1110,1381,1110,1381,NEI-CEDA
2026-01-02,-0.05,996545,996545,9495,105,9495,105,DATA
2026-01-02,-0.46,3450090,3450090,19690,175,19690,175,DATA
2026-01-02,3.24,4942965,4942965,10995,464,10995,464,DATA
2026-01-02,0.0,1136550,1136550,4295,284,4295,284,DATA
2026-01-02,-0.13,7121425,7121425,11430,642,11430,642,DATA
2026-01-02,-1.41,4053485,4053485,2450,1690,2450,1690,DATA
2026-01-02,-1.13,9013735,9013735,2195,4132,2195,4132,DATA
2026-01-02,3.54,582995,582995,2485,239,2485,239,DATA
2026-01-02,-1.37,37492280,37492280,14055,2639,14055,2639,DATA
2026-01-02,0.0,2054586,2054586,23,89496,23,89496,DATA
2026-01-02,-1.23,1784975,1784975,8000,221,8000,221,DATA
2026-01-02,-3.94,3045635,3045635,2245,1321,3175,934,DATA
2026-01-02,6.33,18555675,18555675,1680,10948,1680,10948,DATA
2026-01-02,-1.9,2742940,2742940,7750,351,7750,351,DATA
2026-01-02,7.14,101638500,101638500,750,135518,750,135518,DATA
2026-01-02,0.0,306156145,306156145,16000,19750,16000,19750,DATA
2026-01-02,0.69,2733045,2733045,2920,936,2920,936,DATA
2026-01-02,-3.4,5079755,5079755,1280,4096,1280,4096,DATA
2026-01-02,0.6,12280795,12280795,10845,1139,10845,1139,DATA
